ts;date;gfs_ugrd;gfs_vgrd;gfs_gust;ecmwf_ugrd;ecmwf_vgrd;ecmwf_gust;icon_ugrd;icon_vgrd;icon_gust
1551877200;"06.03.2019 13:00";-1.88505088;-4.06900976;4.1352656;-1.93829456;8.352138592;10.7194527296;-2.6162369792;-1.0797070464;5.692396896
1551880800;"06.03.2019 14:00";-1.9576376;-3.79279104;4.2546048;-1.5365111744;8.528383008;9.9937631872;-1.958263904;-0.65970743680001;4.571797088
1551884400;"06.03.2019 15:00";-2.01945824;-3.76409184;4.6670408;-1.1464891328;8.6994252672;11.4098367296;-1.6720136;-0.720099904;3.5204586752
1551888000;"06.03.2019 16:00";-1.7413536;-3.88162256;4.9576424;-0.41568272;8.7000887616;11.3960158336;-1.1507149504;-0.370382464;3.0665058816
1551891600;"06.03.2019 17:00";-1.23214752;-4.0503344;5.298108;0.3372817856;8.7007274368;11.381803712;0.14461265920001;-0.32294063359999;2.286187488
1551895200;"06.03.2019 18:00";-0.58973423999999;-4.37284608;5.379236;1.0681700672;8.7013730688;11.3679652224;1.2009974912;-2.1706426624;3.3055140416
1551898800;"06.03.2019 19:00";0.027700000000008;-4.65707056;5.8751016;1.3102517312;8.6712022272;11.3770510784;1.6371156032;-4.6484627904;6.9348694336
1551902400;"06.03.2019 20:00";0.26757344000001;-4.67888992;5.9935672;1.5596811392;8.6401745728;11.3864211968;2.0331481536;-5.0403456704001;8.2619602624
1551906000;"06.03.2019 21:00";0.36854032000001;-4.88194288;6.2021016;1.8017638656;8.6100856;11.3955070528;1.8538009344;-4.5137570240001;7.8648355968
1551909600;"06.03.2019 22:00";0.29207424;-5.26780288;6.4121016;1.7522686144;3.889435136;11.5218702656;1.251147488;-4.6833933696001;7.134220384
1551913200;"06.03.2019 23:00";0.264028;-5.54694224;6.7211344;1.7012156544;-0.97421400320008;11.6521337664;0.81071070079997;-4.9459591552001;7.2708752704
1551916800;"07.03.2019 00:00";0.20130864;-5.76930128;7.007;1.6516398656;-5.6948809984001;11.7784969792;0.56781769599996;-5.4357167040001;7.893125984
1551920400;"07.03.2019 01:00";0.3672096;-6.07007968;7.3228656;1.7911090304;-6.0711672192001;11.6569641728;1.0618958208;-5.6416644864001;8.2254539264001
1551924000;"07.03.2019 02:00";0.22582992;-6.13767344;7.405;1.9347555712;-6.4588322496001;11.5317692736;0.44843630079996;-6.1560113472001;8.8217332928001
1551927600;"07.03.2019 03:00";0.24581024;-6.19891296;7.3909328;2.0742260672;-6.8351182016001;12.676723616;0.22080674559996;-6.6984313216001;9.3895694528001
1551931200;"07.03.2019 04:00";0.22509728;-6.11634608;7.3877328;1.6679472064;-6.6442649664001;12.2663279872;0.034090335999964;-7.1339608448001;9.9987191168001
1551934800;"07.03.2019 05:00";0.127304;-6.12489344;7.5570016;1.2494226624;-6.4476955648001;11.8435649856;0.16121031679997;-7.1487304576001;10.1354707712
1551938400;"07.03.2019 06:00";-0.38801616;-6.24285616;7.4282672;0.84322540159998;-6.2569244672001;11.4331680256;-0.50772785280003;-6.9027298880001;10.0761883328
1551942000;"07.03.2019 07:00";-1.11877008;-6.34580896;7.0990688;-0.71190729600001;-6.4056843328001;12.2744244544;-0.56618517120003;-6.6609822336;10.0113861504
