ts,wind_speed,wind_direction,wind_gust
1512464400,2.300404,274.420135,2.256531
1512475200,3.454534,301.674652,3.745785
1512486000,2.776746,298.005157,3.213974
1512496800,1.985219,257.075439,2.421813
1512507600,4.013057,209.828812,4.327515
1512518400,6.071709,192.944611,7.623466
1512529200,6.938442,186.34407,7.900247
1512540000,6.901817,184.098145,7.807165
1512550800,7.307563,199.529846,7.400342
1512561600,9.299466,198.653366,9.835509
1512572400,9.930345,177.534546,11.029344
1512583200,9.762317,166.579453,11.83462
1512594000,9.424362,169.237167,11.465451
1512604800,9.265843,168.473618,11.1
1512615600,8.383492,163.490952,10.612574
1512626400,7.556852,167.32106,9.802036
1512637200,7.424582,184.113159,8.914579
1512648000,7.981919,189.893845,8.920048
1512658800,6.521233,186.30661,7.55459
1512669600,6.538805,175.497421,7.777977
1512680400,6.343947,173.122971,7.702075
1512691200,6.332821,175.80188,7.666703
1512702000,6.280398,173.475677,7.600114
1512712800,5.706569,178.314056,6.812217
1512723600,5.765545,197.743866,6.000196
1512734400,4.724327,203.842102,4.90746
1512745200,4.005659,202.900726,5.026526
1512756000,4.252472,180.271088,5.229394
1512766800,4.159739,178.539047,4.938648
1512777600,4.18237,181.968399,5.012458
1512788400,4.107683,183.008606,4.752997
1512799200,4.000294,185.117157,4.810434
1512810000,4.052528,210.501205,4.163113
1512820800,3.098936,229.421829,3.337641
1512831600,1.81881,221.740768,2.206489
1512842400,2.270186,178.44101,2.669206
1512853200,1.96736,205.246765,2.323431
1512864000,2.474882,180.060989,2.946443
1512874800,2.009593,186.174561,2.417907
1512885600,1.723714,189.398315,2.124512
1512896400,2.117974,257.980743,2.175776
1512907200,2.614226,271.202515,2.800244
1512918000,1.958665,248.864349,2.302288
1512928800,2.769028,184.445343,3.333951
1512939600,2.959961,178.671265,3.517513
1512950400,3.586719,175.697098,4.083474
1512961200,3.769776,175.845535,4.342175
1512972000,3.813454,172.298706,4.236533
1512982800,4.462631,200.241302,5.029949
1512993600,3.931055,207.832703,4.621448
1513004400,3.202852,181.420212,3.811106
1513015200,3.192104,168.77951,3.858313
1513026000,2.747416,172.283783,3.468704
1513036800,2.89407,174.812119,3.547095
1513047600,2.551099,174.922028,3.249243
1513058400,2.662559,179.741104,3.252495
1513069200,2.191416,215.137772,2.44402
1513080000,1.834015,275.242493,2.031816
1513090800,1.041437,279.33963,1.328464
1513101600,0.327962,211.786118,0.434953
1513112400,0.232472,267.701447,0.419736
1513123200,1.593943,205.113663,2.13834
1513134000,2.206658,186.328049,2.861609
1513144800,2.879534,188.192795,3.414832
1513155600,4.076883,227.52504,4.573242
1513166400,5.41606,226.113266,5.920523
1513177200,7.023685,202.62796,8.761447
1513188000,7.607373,177.131638,9.152231
1513198800,7.696723,168.656372,9.227939
1513209600,7.37868,169.774597,9.016047
1513220400,7.351526,171.202881,9.041686
1513231200,7.566566,173.429169,9.222549
1513242000,7.936522,186.09227,9.123486
1513252800,8.065134,193.231079,8.675095
1513263600,7.117568,187.731857,8.132825
1513274400,6.298441,174.854721,7.539673
1513285200,6.308141,173.842911,7.569646
1513296000,6.324394,172.091965,7.627934
1513306800,6.733986,170.710464,8.210834
1513317600,6.73139,169.393646,8.218085
1513328400,6.818711,182.600861,7.756921
1513339200,7.242545,189.399323,7.522412
1513350000,6.437241,182.1586,7.466824
1513360800,5.221497,168.265915,6.347547
1513371600,4.981279,169.633591,5.93917
1513382400,4.697382,173.165848,5.613642
1513393200,4.344869,175.88205,5.233838
1513404000,3.941152,181.83934,4.700733
1513414800,3.534285,206.309753,3.529258
